,tx_type,date,punk_id,transfer_count,eth_amount,dollar_amount,floor_price,mean_offer,median_offer,min_sale_price,min_bid,mean_bid,median_bid,floor_sale_target,discount_target,premium_target
0,Sold,2017-06-23,4641,0.0,0.20,65,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
1,Sold,2017-06-23,4641,0.0,0.03,10,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,1,0,0
2,Sold,2017-06-23,5719,1.0,0.04,13,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
3,Sold,2017-06-23,1841,1.0,0.25,82,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
4,Sold,2017-06-23,5916,0.0,0.30,98,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
5,Sold,2017-06-23,8781,1.0,0.12,38,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
6,Sold,2017-06-23,5633,0.0,0.30,98,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
7,Sold,2017-06-23,5056,1.0,0.10,33,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
8,Sold,2017-06-23,3134,2.0,0,3,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,1,0
9,Sold,2017-06-23,5545,0.0,0.20,65,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
10,Sold,2017-06-23,5621,0.0,0.03,10,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,1,0,0
11,Sold,2017-06-23,5624,0.0,0.06,20,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
12,Sold,2017-06-23,8878,0.0,0.13,43,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
13,Sold,2017-06-23,6548,0.0,0.03,10,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,1,0,0
14,Sold,2017-06-23,4025,0.0,0.06,20,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
15,Sold,2017-06-23,6318,0.0,0.11,35,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
16,Sold,2017-06-23,544,2.0,0,3,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,1,0
17,Sold,2017-06-23,6934,1.0,0.09,29,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
18,Sold,2017-06-23,6208,0.0,0.06,20,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
19,Sold,2017-06-23,0,1.0,0.98,320,0.03,26.072368421052623,0.32999999999999996,0.03,0.03,0.19233333333333333,0.1,0,0,1
20,Sold,2017-06-24,4842,1.0,0.10,30,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
21,Sold,2017-06-24,4148,1.0,0.30,91,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
22,Sold,2017-06-24,5138,0.0,0.50,152,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
23,Sold,2017-06-24,3507,0.0,0.23,70,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
24,Sold,2017-06-24,1657,0.0,0.01,001,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,1,0,0
25,Sold,2017-06-24,9963,0.0,0.15,46,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
26,Sold,2017-06-24,4167,1.0,0.23,70,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
27,Sold,2017-06-24,4164,1.0,0.23,70,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
28,Sold,2017-06-24,4640,2.0,0.05,15,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
29,Sold,2017-06-24,9131,0.0,0.15,46,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
30,Sold,2017-06-24,4509,0.0,0.20,61,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
31,Sold,2017-06-24,4445,0.0,0.35,107,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
32,Sold,2017-06-24,5921,0.0,0.36,110,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
33,Sold,2017-06-24,8142,0.0,0.30,91,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
34,Sold,2017-06-24,9926,2.0,0.01,0,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,1,0,0
35,Sold,2017-06-24,1376,0.0,0.01,001,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,1,0,0
36,Sold,2017-06-24,5546,0.0,0.10,30,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
37,Sold,2017-06-24,1416,1.0,0.30,91,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
38,Sold,2017-06-24,1050,0.0,0.34,102,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
39,Sold,2017-06-24,1216,0.0,0.15,46,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
40,Sold,2017-06-24,5167,1.0,0.15,46,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
41,Sold,2017-06-24,2539,0.0,0.05,14,0.01,9.498571428571434,1.1,0.01,0.01,0.17346153846153844,0.135,0,0,1
42,Sold,2017-06-25,8037,0.0,0.10,28,0.1,9.191923076923082,0.725,0.05,0.01,0.06439821693907846,0.05,1,0,0
43,Sold,2017-06-25,6315,0.0,0.10,28,0.1,9.191923076923082,0.725,0.05,0.01,0.06439821693907846,0.05,1,0,0
44,Sold,2017-06-25,6315,0.0,0.20,56,0.1,9.191923076923082,0.725,0.05,0.01,0.06439821693907846,0.05,0,0,1
45,Sold,2017-06-25,1036,1.0,0.15,42,0.1,9.191923076923082,0.725,0.05,0.01,0.06439821693907846,0.05,0,0,1
