,url,type,from,to,amount,date
0,https://www.larvalabs.com/cryptopunks/details/8633,Bid,0xc7c6b9,,<0.01Ξ ($<0.01),"Dec 16, 2020"
1,https://www.larvalabs.com/cryptopunks/details/8633,Claimed,,0x005612,,"Jun 23, 2017"
2,https://www.larvalabs.com/cryptopunks/details/8634,Transfer,0x00bd9f,0xca8fe4,,"Mar 08, 2018"
3,https://www.larvalabs.com/cryptopunks/details/8634,Claimed,,0x00bd9f,,"Jun 23, 2017"
4,https://www.larvalabs.com/cryptopunks/details/8635,Offered,,,"12Ξ ($20,941)","Feb 10, 2021"
5,https://www.larvalabs.com/cryptopunks/details/8635,Sold,MadMax,0x565496,"6.95Ξ ($7,756)","Jan 12, 2021"
6,https://www.larvalabs.com/cryptopunks/details/8635,Offered,,,"6.95Ξ ($8,998)","Jan 10, 2021"
7,https://www.larvalabs.com/cryptopunks/details/8635,Offer Withdrawn,,,,"Jan 10, 2021"
8,https://www.larvalabs.com/cryptopunks/details/8635,Offered,,,"8.75Ξ ($9,710)","Jan 05, 2021"
9,https://www.larvalabs.com/cryptopunks/details/8635,Sold,0x34e801,MadMax,"6.25Ξ ($6,844)","Jan 05, 2021"
10,https://www.larvalabs.com/cryptopunks/details/8635,Offered,,,"6.25Ξ ($6,844)","Jan 05, 2021"
11,https://www.larvalabs.com/cryptopunks/details/8635,Transfer,Michel_M…,0x34e801,,"Jan 05, 2021"
12,https://www.larvalabs.com/cryptopunks/details/8635,Offer Withdrawn,,,,"Jan 05, 2021"
13,https://www.larvalabs.com/cryptopunks/details/8635,Offered,,,"9.75Ξ ($9,872)","Jan 04, 2021"
14,https://www.larvalabs.com/cryptopunks/details/8635,Offer Withdrawn,,,,"Dec 30, 2020"
15,https://www.larvalabs.com/cryptopunks/details/8635,Offered,,,"17.50Ξ ($12,876)","Dec 30, 2020"
16,https://www.larvalabs.com/cryptopunks/details/8635,Offer Withdrawn,,,,"Dec 29, 2020"
17,https://www.larvalabs.com/cryptopunks/details/8635,Offered,,,"9.50Ξ ($7,014)","Dec 28, 2020"
18,https://www.larvalabs.com/cryptopunks/details/8635,Bid Withdrawn,0xcb28f9,,"3.50Ξ ($2,197)","Dec 25, 2020"
19,https://www.larvalabs.com/cryptopunks/details/8635,Bid,0xcb28f9,,"3.50Ξ ($2,031)","Dec 24, 2020"
20,https://www.larvalabs.com/cryptopunks/details/8635,Offer Withdrawn,,,,"Dec 22, 2020"
21,https://www.larvalabs.com/cryptopunks/details/8635,Offered,,,"4.25Ξ ($2,626)","Dec 22, 2020"
22,https://www.larvalabs.com/cryptopunks/details/8635,Offered,,,"4.75Ξ ($2,875)","Dec 21, 2020"
23,https://www.larvalabs.com/cryptopunks/details/8635,Offered,,,"5.50Ξ ($3,388)","Dec 21, 2020"
24,https://www.larvalabs.com/cryptopunks/details/8635,Offer Withdrawn,,,,"Dec 17, 2020"
25,https://www.larvalabs.com/cryptopunks/details/8635,Offered,,,"12Ξ ($7,310)","Dec 01, 2020"
